dataset,taxa,sites,windows,taxa_sites,estimate_seconds,estimate_minutes,estimate_hours,low_seconds,high_seconds
100652824_NT_AL,154,3744,15,576576,3246.94175751486,54.115695958581,0.90192826597635,3026.854199455579,3893.7231253773325
10069_NT_AL,157,879,4,138003,777.152887671917,12.952548127865283,0.21587580213108806,724.4751083768111,931.9594857771534
10073_NT_AL,157,1098,5,172386,970.7780098563878,16.179633497606464,0.26966055829344104,904.9757326481669,1164.154169946888
10075_NT_AL,155,13410,53,2078550,11705.1885442379,195.08647573729834,3.2514412622883055,10911.77537094571,14036.828106360748
10078_NT_AL,145,1098,5,159210,896.5784167463454,14.94297361243909,0.24904956020731817,835.8056129553133,1075.1742333904378
1007_NT_AL,150,2376,10,356400,2007.0381742880315,33.45063623813386,0.5575106039688976,1870.9950408722673,2406.834349477747
10081_NT_AL,145,1542,7,223590,1259.1292519333922,20.985487532223203,0.3497581255370534,1173.7816531667515,1509.9441419745494
100820829_NT_AL,142,1437,6,204054,1149.1138260835298,19.151897101392162,0.31919828502320274,1071.2234064819013,1378.0139628179913
10082_NT_AL,152,1683,7,255816,1440.6074006556316,24.010123344260528,0.40016872240434215,1342.9586626705384,1727.5722108473606
10083_NT_AL,161,2622,11,422142,2377.2590038448325,39.62098339741387,0.6603497232902312,2216.1211799772746,2850.8020930337684
10084_NT_AL,160,1389,6,222240,1251.5268346065436,20.858780576775725,0.3476463429462621,1166.694550739205,1500.8273451962245
10085_NT_AL,156,1446,6,225576,1270.3132525342228,21.171887542237048,0.35286479237061746,1184.2075682934976,1523.355963012885
100861412_NT_AL,147,927,4,136269,767.3880049720982,12.789800082868304,0.21316333471447171,715.3721190365403,920.2494668041052
10086_NT_AL,160,1668,7,266880,1502.9134342143375,25.048557236905626,0.41747595394842707,1401.0414043434082,1802.2894253328313
100874261_NT_AL,11,549,3,6039,34.00814684210276,0.5668024473683794,0.009446707456139656,31.702971525891193,40.78247092170626
10087_NT_AL,158,1884,8,297672,1676.316126309391,27.938602105156516,0.4656433684192753,1562.6903361574903,2010.2334300722218
100885848_NT_AL,131,474,2,62094,349.67740851358315,5.827956808559719,0.09713261347599532,325.97521343412615,419.3321327061482
1008_NT_AL,89,2373,10,211197,1189.3390608729221,19.82231768121537,0.3303719613535895,1108.722052881875,1426.2519475495278
10090_NT_AL,154,1296,6,199584,1123.9413776012977,18.73235629335496,0.3122059382225827,1047.7572228884696,1347.8272357075382
10092_NT_AL,155,462,2,71610,403.2660035375026,6.721100058958377,0.11201833431597295,375.9314109900759,483.59542021913984
10094_NT_AL,157,537,3,84309,474.7794091920585,7.912990153200975,0.13188316922001625,442.5974211585297,569.3540885805818
10096_NT_AL,152,1464,6,222528,1253.1486836362712,20.885811393937853,0.3480968565656309,1168.2064659237483,1502.7722618422672
10098_NT_AL,158,804,4,127032,715.3705761957274,11.922842936595456,0.19871404894325762,666.8805893156168,857.8703172919672
100996521_NT_AL,30,165,1,4950,27.875530198444885,0.4645921699740814,0.007743202832901357,25.986042234337045,33.428254853857595
100996939_NT_AL,141,360,2,50760,285.85089148950755,4.764181524825125,0.07940302541375209,266.47505127574715,342.7915588650124
10099_NT_AL,154,768,3,118272,666.0393348748431,11.100655581247386,0.18501092635412308,620.8931691190932,798.7124359748375
1009_NT_AL,150,2388,10,358200,2017.1747307238297,33.619578845397164,0.5603263140899527,1880.4445107756626,2418.9900785155132
10100_NT_AL,158,696,3,109968,619.276021184361,10.321267019739349,0.1720211169956558,577.2996146314296,742.6340060139418
10102_NT_AL,152,996,4,151392,852.5519732935288,14.209199554892146,0.23681999258153577,794.7634153415664,1022.3778502697392
10109_NT_AL,161,900,4,144900,815.9927930817503,13.599879884695838,0.22666466474493063,760.6823272233207,978.536187540195
1010_NT_AL,137,2391,10,327567,1844.6674344472717,30.744457240787863,0.5124076206797977,1719.6302821363804,2212.1198298411255
10112_NT_AL,161,2763,11,444843,2505.0978747609734,41.751631246016224,0.695860520766937,2335.294744575595,3004.1060957483987
10113_NT_AL,158,1290,6,203820,1147.796073746876,19.129934562447932,0.3188322427074655,1069.99497539446,1376.4337180430819
10116_NT_AL,159,1893,8,300987,1694.984284411986,28.2497380735331,0.47082896789221834,1580.0931098962433,2032.6202310501083
10117_NT_AL,158,3738,15,590604,3325.93932067118,55.432322011186336,0.9238720335197723,3100.4970682360395,3988.4567736783256
10124_NT_AL,157,600,3,94200,530.4797868067693,8.841329780112822,0.1473554963352137,494.5222582776868,636.1498196431081
10125_NT_AL,161,2409,10,387849,2184.1407094821516,36.40234515803586,0.606705752633931,2036.0930292010885,2619.215195315922
10127_NT_AL,156,2073,9,323388,1821.1337292554938,30.352228820924896,0.5058704803487483,1697.6917628439976,2183.898278925111
10128_NT_AL,158,4230,17,668340,3763.7034046118492,62.72839007686415,1.0454731679477358,3508.5881751306706,4513.422191722663
10129_NT_AL,156,9048,36,1411488,7948.6820946954695,132.47803491159115,2.2079672485265194,7409.8963194464495,9532.036482254898
1012_NT_AL,154,2124,9,327096,1842.015035513238,30.7002505918873,0.5116708431981216,1717.1576708449918,2208.93908074291
10130_NT_AL,159,1329,6,211311,1189.9810427805226,19.833017379675375,0.33055028966125627,1109.3205193090898,1427.0218103885863
10133_NT_AL,159,1800,8,286200,1611.7124732919042,26.86187455486507,0.44769790924775116,1502.4657146398508,1932.7609170048572
10135_NT_AL,156,1482,6,231192,1301.939308613913,21.69898847689855,0.36164980794830914,1213.689914392091,1561.2818376107161
10137_NT_AL,48,3168,13,152064,856.3362876962268,14.272271461603781,0.23787119102672966,798.291217438834,1026.9159891105053
10138_NT_AL,105,612,3,64260,361.8750647579936,6.031251079299893,0.10052085132166488,337.3460755512118,433.9595266482604
10140_NT_AL,160,1173,5,187680,1056.9049510392194,17.615082517320324,0.2935847086220054,985.2647285940154,1267.4373476711098
101410538_NT_AL,82,297,2,24354,137.14760857634883,2.2857934762724805,0.03809655793787468,127.85132779293826,164.46701388097935
10142_NT_AL,156,12891,51,2010996,11324.763581202398,188.74605968670664,3.1457676614451104,10557.136765471285,13580.623595573375
10143_NT_AL,162,588,3,95256,536.4265665824375,8.94044277637396,0.14900737960623264,500.0659472876787,643.2811806785978
10144_NT_AL,155,3114,13,482670,2718.117608259271,45.30196013765452,0.7550326689609086,2533.875354595447,3259.55874147706
10146_NT_AL,149,1425,6,212325,1195.6913029060222,19.928188381767036,0.3321364730294506,1114.6437206880025,1433.869537746528
10147_NT_AL,157,3537,14,555309,3127.178343225905,52.119639053765084,0.8686606508960847,2915.2087125469634,3750.103186796123
10149_NT_AL,156,3141,13,489996,2759.3733929529694,45.989556549216154,0.7664926091536026,2572.3346971022656,3309.0325586607687
10152_NT_AL,159,1653,7,262827,1480.0892879730654,24.66815479955109,0.41113591332585153,1379.7643479442631,1774.9187754494606
10157_NT_AL,157,2790,11,438030,2466.731008651477,41.11218347752462,0.6852030579587437,2299.5285009912436,2958.096661340453
10159_NT_AL,155,1056,5,163680,921.7508652285775,15.362514420476291,0.25604190700793816,859.271796548745,1105.3609605008912
1015_NT_AL,160,2520,10,403200,2270.588641618783,37.84314402697972,0.6307190671163286,2116.6812583605447,2722.883304459673
