dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
10152_NT_AL,159,1653,7,262827,1692.7914065655973,1480.0892879730654
10157_NT_AL,157,2790,11,438030,2821.2224003543342,2466.731008651477
10159_NT_AL,155,1056,5,163680,1054.2147398351653,921.7508652285775
1015_NT_AL,160,2520,10,403200,2596.892614256712,2270.588641618783
10163_NT_AL,161,1551,7,249711,1608.3151081315918,1406.2275800775496
10165_NT_AL,159,2031,8,322929,2079.8907118782386,1818.5489073643653
10166_NT_AL,148,906,4,134088,863.6213711816815,755.1058774240561
10169_NT_AL,150,399,2,59850,385.4762474287307,337.04050149028814
1016_NT_AL,135,2373,10,320355,2063.3123349211533,1804.0536316611738
10170_NT_AL,161,978,4,157458,1014.1406677967097,886.7121684821686
10171_NT_AL,157,1119,5,175683,1131.522532615233,989.3448023946247
10174_NT_AL,161,2190,9,352590,2270.928489238031,1985.5824631655921
10175_NT_AL,159,438,2,69642,448.54363948925084,392.18336850103003
10178_NT_AL,147,8205,33,1206135,7768.360796866367,6792.253053717438
10179_NT_AL,159,840,4,133560,860.2206784725358,752.1324875362219
1017_NT_AL,159,1128,5,179352,1155.1534825202625,1010.0064832629266
10180_NT_AL,158,3498,14,552684,3559.6750932982554,3112.395865090366
10181_NT_AL,161,2475,10,398475,2566.4602789333912,2243.9801809748133
10189_NT_AL,151,795,4,120045,773.1745383890054,676.0238429641042
10190_NT_AL,160,687,3,109920,707.9623912676036,619.0057130127398
101928108_NT_AL,13,429,2,5577,35.91981674035139,31.406430690247902
101928147_NT_AL,160,768,3,122880,791.4339395829979,691.9889193504863
101928527_NT_AL,119,162,1,19278,124.16392811914905,108.56251942739807
101928601_NT_AL,155,1869,8,289695,1865.8402923787157,1631.3942870380788
101928603_NT_AL,153,645,3,98685,635.6010606099296,555.736706592633
101929926_NT_AL,43,474,2,20382,131.27446742009005,114.7796073746876
10196_NT_AL,158,1638,7,258804,1666.8804467760272,1457.4340843390564
