dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
10342_NT_AL,161,1236,5,198996,1281.6747089946148,1120.630102498937
10343_NT_AL,75,6321,25,474075,3053.3776441065247,2669.715551278335
10344_NT_AL,121,291,2,35211,226.7836950411535,198.28793814493793
10345_NT_AL,120,1008,4,120960,779.0677842770136,681.176592485635
10347_NT_AL,144,7098,28,1022112,6583.122777140765,5755.942206503615
10350_NT_AL,106,6021,24,638226,4110.62595641519,3594.1188154409465
10352_NT_AL,162,1089,5,176418,1136.2564514433052,993.4838962725756
10360_NT_AL,160,558,3,89280,575.0262217282719,502.77319921558774
10361_NT_AL,151,711,3,107361,691.4806248988464,604.59490861318
10363_NT_AL,160,1050,5,168000,1082.0385892736301,946.078600674493
10367_NT_AL,156,1464,6,228384,1470.9541736468377,1286.126280574068
1036_NT_AL,159,603,3,95877,617.5155584749275,539.9236785527879
10371_NT_AL,158,2325,10,367350,2365.9933081527856,2068.702225939137
10379_NT_AL,161,1347,6,216867,1396.7765639285972,1221.2692136456862
10380_NT_AL,157,972,4,152604,982.8774814137681,859.3772546269663
10389_NT_AL,146,2574,11,375804,2420.443035734448,2116.3102526659354
10393_NT_AL,159,564,3,89676,577.5767412601313,505.0032416314633
10395_NT_AL,143,4698,19,671814,4326.9563857992525,3783.2669585329395
10396_NT_AL,161,3477,14,559797,3605.4878342833945,3152.4521572724952
10399_NT_AL,153,963,4,147339,948.9671649106391,829.7278270522567
103_NT_AL,159,4176,17,663984,4276.525658692036,3739.1729380372176
10401_NT_AL,158,1935,8,305730,1969.1170113013507,1721.694110620314
10402_NT_AL,162,1011,4,163782,1054.8716918357957,922.3252700932727
10403_NT_AL,157,1953,8,306621,1974.855680248034,1726.711706056034
10404_NT_AL,157,1428,6,224196,1443.9804973856592,1262.541892600111
10406_NT_AL,150,411,2,61650,397.069518028091,347.17705792608626
10409_NT_AL,81,801,4,64881,417.8794387539428,365.37217672834396
1040_NT_AL,156,1401,6,218556,1407.6549161743303,1230.78068243461
10412_NT_AL,150,783,4,117450,756.460906608261,661.4103074358286
10413_NT_AL,158,1338,6,211404,1361.5909876595385,1190.5047648630389
10419_NT_AL,161,1914,8,308154,1984.729282375156,1735.344673287189
1041_NT_AL,157,2808,11,440856,2839.42383519533,2482.6454022556804
10420_NT_AL,157,1791,7,281187,1811.0427666790727,1583.4821636182064
10421_NT_AL,160,1077,5,172320,1109.862438712095,970.4063361204086
10424_NT_AL,142,678,3,96276,620.0854001244525,542.1706152293898
10425_NT_AL,158,1494,6,236052,1520.3415064001126,1329.308010990568
10427_NT_AL,154,3828,15,589512,3796.8734097611677,3319.7898097667958
10428_NT_AL,150,939,4,140850,907.1734243999451,793.1855411012044
10434_NT_AL,152,696,3,105792,681.3751573597373,595.7592102533093
10436_NT_AL,161,759,3,122199,787.0478188729066,688.1539221656094
10438_NT_AL,158,426,2,67308,433.5110319454136,379.03963365594507
1043_NT_AL,20,225,1,4500,28.983176498400805,25.34139108949535
10440_NT_AL,158,543,3,85794,552.5739210008442,483.142068251592
10443_NT_AL,137,3786,15,518682,3340.6782116763393,2920.916314018139
10447_NT_AL,160,684,3,109440,704.8708524411076,616.3026312965269
10449_NT_AL,159,1197,5,190323,1225.8144668233635,1071.7887947391164
1044_NT_AL,155,924,4,143220,922.4378973557696,806.5320070750053
10450_NT_AL,149,915,4,136335,878.0936373132164,767.7596787080774
10451_NT_AL,155,2547,10,394785,2542.6940742047027,2223.200240281427
10456_NT_AL,158,894,4,141252,909.7625881671356,795.4493720385327
10457_NT_AL,160,1743,7,278880,1796.1840581942258,1570.4904771196584
10460_NT_AL,149,3249,13,484101,3117.952161344962,2726.1761706257307
10461_NT_AL,157,2985,12,468645,3018.404611131788,2639.1369393636774
10463_NT_AL,156,1728,7,269568,1736.2082049602018,1518.0506918251294
10464_NT_AL,158,2277,9,359766,2317.1469946941475,2025.9935348229742
10465_NT_AL,159,531,3,84429,543.782357462996,475.4551796211117
10466_NT_AL,150,2493,10,373950,2408.501967017107,2105.8695995370636
1046_NT_AL,115,879,4,101085,651.0587547424101,569.2521151736972
10471_NT_AL,162,393,2,63666,410.0539810993746,358.53000113418017
10475_NT_AL,133,2073,9,275709,1775.7605798216862,1552.6332435319273
10477_NT_AL,157,618,3,97026,624.9159295408525,546.3941804109724
10478_NT_AL,159,924,4,146916,946.2427463197895,827.3457362898441
10479_NT_AL,155,2127,9,329685,2123.404120861171,1856.5947825200608
10480_NT_AL,160,1122,5,179520,1156.2355211095362,1010.9525618636011
10483_NT_AL,160,2307,10,369120,2377.39335757549,2078.669839767672
10484_NT_AL,155,2298,9,356190,2294.1150304367516,2005.8555760371885
10486_NT_AL,161,1440,6,231840,1493.2132531976094,1305.5884689308004
10487_NT_AL,162,1431,6,231822,1493.0973204916158,1305.4871033664424
10488_NT_AL,161,1188,5,191268,1231.9009338880278,1077.1104868679104
10489_NT_AL,160,2472,10,395520,2547.427993032775,2227.339334159378
10490_NT_AL,160,699,3,111840,720.328546573588,629.8180398775911
10492_NT_AL,160,1881,8,300960,1938.3948442130459,1694.832236065449
10497_NT_AL,104,3822,15,397488,2560.1033022214087,2238.4219691958506
10500_NT_AL,152,3039,12,461928,2975.142389678508,2601.310689597424
10505_NT_AL,156,2388,10,372528,2399.3432832436124,2097.861719952783
10512_NT_AL,157,2286,9,358902,2311.5822248064546,2021.127987733791
10513_NT_AL,160,1767,7,282720,1820.9163688061944,1592.115130849361
10514_NT_AL,161,5166,21,831726,5356.902545846424,4683.798632289247
10516_NT_AL,160,1359,6,217440,1400.4670884027269,1224.4960174444152
10521_NT_AL,155,1968,8,305040,1964.6729242382626,1717.808430653258
10525_NT_AL,161,3117,13,501837,3232.184520983992,2826.055040039795
10526_NT_AL,133,3237,13,430521,2772.859139837336,2424.4446740534727
10527_NT_AL,160,3114,13,498240,3209.017301902937,2805.798821428925
10528_NT_AL,158,1887,8,298146,1920.2706978427125,1678.9854195041512
10529_NT_AL,151,3102,13,468402,3016.839519600874,2637.7685042448447
10531_NT_AL,149,3066,12,456834,2942.3334338823183,2572.624234884115
10533_NT_AL,160,2091,9,334560,2154.8025620677718,1884.0479562003475
10534_NT_AL,159,627,3,99693,642.0932921455715,561.41317819668
105378220_NT_AL,72,2355,10,169560,1092.0860904597423,954.8636162521848
105378952_NT_AL,16,3948,16,63168,406.8465095668849,355.72555385360937
10537_NT_AL,109,495,2,53955,347.50828621582565,303.8432791630492
10539_NT_AL,155,975,4,151125,973.351677404627,851.0483840888854
10541_NT_AL,158,891,4,140778,906.7096935759707,792.7800788437725
10542_NT_AL,154,276,2,42504,273.7557630862284,239.35788597064672
10548_NT_AL,155,1836,8,284580,1832.8960817588668,1602.5895724996858
10549_NT_AL,156,825,4,128700,828.918847854263,724.763785159567
1054_NT_AL,152,462,2,70224,452.2921303163773,395.46085508193806
10551_NT_AL,158,537,3,84846,546.4681318185144,477.80348186207164
10552_NT_AL,159,1116,5,177444,1142.8646156849404,999.2617334409806
